Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category,lat,lng
4,77,47,2,1,1,27,1,2,1,47,2,51.9667,17.5
18,78,59,1,1,1,32,1,0,1,59,1,8.65,124.75
25,79,133,5,4,1,23,1,3,1,133,5,7.84,4.486
13,80,29,2,1,1,29,1,1,1,7,2,61.1833,28.7667
2,81,73,1,2,1,2,1,8,1,73,1,-26.8978,-49.2319
18,82,50,2,0,1,24,1,0,1,50,2,14.2,120.8833
2,83,25,2,0,1,9,1,1,1,25,2,-14.1628,-40.0058
25,84,90,1,3,1,18,1,2,1,90,1,7.9667,3.6
22,85,81,1,2,1,26,1,3,1,81,1,18.0292,-95.5264
2,86,29,2,0,1,20,1,1,1,29,2,-3.9689,-38.5278
2,87,44,2,1,1,16,1,1,1,44,2,-21.0108,-40.8339
26,88,65,1,1,1,12,1,0,1,65,1,4.4081,32.575
5,89,53,1,1,1,28,1,10,1,53,1,40.2237,-74.7641
5,89,53,1,1,1,28,1,10,1,53,1,42.1394,-83.1929
5,89,53,1,1,1,28,1,10,1,53,1,39.4792,-84.462
5,90,56,1,0,1,23,1,0,1,56,1,18.3599,-66.0096
27,91,57,1,1,1,26,1,3,1,57,1,53.2667,-7.5
28,92,62,1,0,1,35,1,0,1,62,1,39.1064,39.5472
5,93,49,2,1,1,27,1,4,1,49,2,44.1565,-87.5824
1,94,34,2,1,1,34,1,0,1,32,2,55.8667,72.2
16,95,163,3,2,1,92,2,0,1,163,3,23.5247,80.8372
5,96,126,5,4,1,3,1,36,1,126,5,33.9209,-118.2356
5,96,126,5,4,1,3,1,36,1,126,5,41.7641,-87.9454
5,97,63,1,2,1,9,1,22,1,63,1,42.0771,-87.7282
5,98,53,1,2,1,27,1,10,1,53,1,38.9395,-77.2842
5,99,86,1,2,1,38,1,10,1,86,1,42.132,-83.2374
7,100,112,5,2,1,44,1,4,1,112,5,30.1697,121.2665
7,101,155,3,3,1,155,3,2,1,151,3,33.3936,120.1339
29,102,121,5,4,1,24,1,0,1,121,5,0.7675,24.4414
7,103,69,1,2,1,48,1,0,1,69,1,42.9044,129.5067
5,104,47,2,1,1,34,1,3,1,47,2,42.8901,-97.3927
20,105,69,1,1,1,34,1,4,1,69,1,50.9667,7.8667
6,106,64,1,1,1,32,1,6,1,64,1,51.0,3.8833
30,107,20,2,1,1,20,1,1,1,10,2,60.7029,-135.0691
27,108,38,2,1,1,30,1,3,1,38,2,52.9779,-6.033
31,109,59,1,1,1,27,1,3,1,59,1,47.4667,9.05
20,110,67,1,1,1,30,1,5,1,67,1,52.9,8.4333
5,111,75,1,2,1,13,1,16,1,75,1,41.2399,-77.037
5,112,60,1,2,1,18,1,21,1,60,1,42.4239,-88.1844
32,113,36,2,1,1,36,1,0,1,25,2,55.8333,12.0666
5,114,41,2,1,1,30,1,8,1,41,2,38.7601,-76.9642
20,115,44,2,1,1,28,1,2,1,44,2,51.3484,9.5256
23,116,29,2,1,1,26,1,1,1,29,2,43.342,142.3832
7,117,168,3,3,1,168,3,5,1,99,1,27.9814,116.3577
7,117,168,3,3,1,168,3,5,1,99,1,26.0769,119.2917
15,118,25,2,1,1,25,1,3,1,23,2,55.6194,-2.8033
20,119,41,2,1,1,26,1,4,1,41,2,50.9831,6.0
20,120,36,2,0,1,33,1,1,1,36,2,52.4183,9.5981
33,121,59,1,2,1,12,1,0,1,59,1,9.3,13.4
8,122,35,2,0,1,33,1,2,1,35,2,51.7,4.8586
34,123,29,2,0,1,29,1,0,1,13,2,-28.7744,114.6089
20,124,51,1,1,1,29,1,3,1,51,1,49.2167,8.3667
10,125,103,5,4,1,9,1,6,1,103,5,4.305,-74.8017
15,126,35,2,1,1,30,1,4,1,35,2,53.4758,-2.5943
