Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category
32,113,36,2,1,1,36,1,0,1,25,2
5,114,41,2,1,1,30,1,8,1,41,2
20,115,44,2,1,1,28,1,2,1,44,2
23,116,29,2,1,1,26,1,1,1,29,2
7,117,168,3,3,1,168,3,5,1,99,1
7,117,168,3,3,1,168,3,5,1,99,1
15,118,25,2,1,1,25,1,3,1,23,2
20,119,41,2,1,1,26,1,4,1,41,2
20,120,36,2,0,1,33,1,1,1,36,2
33,121,59,1,2,1,12,1,0,1,59,1
8,122,35,2,0,1,33,1,2,1,35,2
34,123,29,2,0,1,29,1,0,1,13,2
20,124,51,1,1,1,29,1,3,1,51,1
10,125,103,5,4,1,9,1,6,1,103,5
15,126,35,2,1,1,30,1,4,1,35,2
35,127,27,2,0,1,27,1,2,1,21,2
35,127,27,2,0,1,27,1,2,1,21,2
16,128,307,6,1,1,45,1,0,1,307,6
5,129,61,1,2,1,26,1,16,1,61,1
5,130,42,2,1,1,42,1,2,1,37,2
5,130,42,2,1,1,42,1,2,1,37,2
20,131,42,2,0,1,32,1,1,1,42,2
36,132,102,5,1,1,23,1,0,1,102,5
3,133,64,1,1,1,53,2,1,1,64,1
23,134,45,2,1,1,45,1,0,1,38,2
23,135,69,1,1,1,69,2,1,1,60,1
37,136,50,2,1,1,41,1,1,1,50,2
38,137,125,5,2,1,125,5,1,1,82,1
18,138,41,2,1,1,25,1,1,1,41,2
23,139,52,1,1,1,34,1,3,1,52,1
23,140,47,2,1,1,47,1,1,1,44,2
23,141,36,2,1,1,36,1,3,1,34,2
18,142,37,2,1,1,19,1,0,1,37,2
1,143,46,2,1,1,27,1,1,1,46,2
5,144,64,1,1,1,18,1,12,1,64,1
39,145,92,1,2,1,52,2,8,1,92,1
18,146,35,2,1,1,20,1,0,1,35,2
12,147,88,1,2,1,53,2,1,1,88,1
28,148,45,2,0,1,45,1,0,1,43,2
15,149,58,1,1,1,24,1,7,1,58,1
7,150,143,5,2,1,35,1,5,1,143,5
7,151,187,3,2,1,36,1,8,1,187,3
6,152,58,1,1,1,29,1,6,1,58,1
6,153,65,1,1,1,27,1,8,1,65,1
7,154,73,1,2,1,66,2,0,1,73,1
7,155,98,1,3,1,33,1,9,1,98,1
7,155,98,1,3,1,33,1,9,1,98,1
7,156,156,3,4,1,45,1,10,1,156,3
22,157,163,3,4,1,8,1,18,1,163,3
1,158,35,2,1,1,35,1,0,1,21,2
3,159,69,1,1,1,37,1,4,1,69,1
40,160,105,5,4,1,15,1,4,1,105,5
5,161,64,1,2,1,37,1,8,1,64,1
5,162,54,1,1,1,32,1,5,1,54,1
5,163,80,1,1,1,18,1,10,1,80,1
1,164,50,2,1,1,36,1,1,1,50,2
6,165,35,2,1,1,25,1,3,1,35,2
30,166,55,1,1,1,27,1,0,1,55,1
30,166,55,1,1,1,27,1,0,1,55,1
41,167,28,2,0,1,28,1,0,1,13,2
42,168,26,2,0,1,26,1,0,1,20,2
7,169,107,5,2,1,107,5,5,1,86,1
42,170,22,2,0,1,22,1,0,1,20,2
5,171,76,1,3,1,7,1,25,1,76,1
5,171,76,1,3,1,7,1,25,1,76,1
43,172,104,5,2,1,14,1,1,1,104,5
1,173,28,2,1,1,28,1,1,1,15,2
1,174,28,2,1,1,28,1,1,1,19,2
44,175,39,2,1,1,29,1,1,1,39,2
45,176,104,5,3,1,5,1,10,1,104,5
3,177,57,1,1,1,40,1,3,1,57,1
15,178,29,2,1,1,29,1,2,1,20,2
15,178,29,2,1,1,29,1,2,1,20,2
8,179,34,2,0,1,34,1,1,1,26,2
20,180,32,2,0,1,30,1,1,1,32,2
46,181,500,6,1,1,38,1,1,1,466,6
47,182,52,1,0,1,28,1,0,1,52,1
18,183,27,2,0,1,23,1,0,1,27,2
20,184,38,2,0,1,28,1,2,1,38,2
5,185,56,1,1,1,23,1,6,1,56,1
46,186,117,5,1,1,117,5,1,1,78,1
48,187,92,1,2,1,57,2,1,1,92,1
3,188,124,5,2,1,32,1,7,1,124,5
3,189,68,1,2,1,68,2,6,1,57,1
18,190,68,1,1,1,26,1,0,1,68,1
49,191,39,2,1,1,4,1,2,1,39,2
3,192,38,2,1,1,36,1,5,1,38,2
50,193,17,2,0,1,17,1,1,1,17,2
51,194,21,2,0,1,4,1,0,1,21,2
7,195,151,3,3,1,119,5,1,1,151,3
1,196,38,2,1,1,38,1,0,1,35,2
1,197,49,2,1,1,40,1,0,1,49,2
22,198,72,1,2,1,4,1,5,1,72,1
5,199,73,1,1,1,32,1,2,1,73,1
2,200,46,2,1,1,2,1,0,1,46,2
15,201,35,2,1,1,12,1,9,1,35,2
27,202,24,2,0,1,24,1,1,1,16,2
2,203,45,2,1,1,14,1,2,1,45,2
52,204,65,1,1,1,12,1,6,1,65,1
3,205,112,5,1,1,34,1,4,1,112,5
2,206,19,2,0,1,19,1,0,1,11,2
15,207,31,2,0,1,31,1,2,1,22,2
5,208,152,3,4,1,4,1,19,1,152,3
5,209,31,2,1,1,21,1,1,1,31,2
50,210,13,2,1,1,12,1,0,1,13,2
3,211,103,5,2,1,28,1,9,1,103,5
53,212,52,1,1,1,35,1,0,1,52,1
54,213,30,2,0,1,30,1,2,1,13,2
16,214,73,1,0,1,25,1,0,1,73,1
2,215,42,2,1,1,2,1,4,1,42,2
20,216,35,2,0,1,35,1,0,1,30,2
5,217,46,2,1,1,25,1,5,1,46,2
55,218,63,1,2,1,13,1,0,1,63,1
9,219,39,2,1,1,26,1,1,1,39,2
5,220,56,1,1,1,18,1,6,1,56,1
5,220,56,1,1,1,18,1,6,1,56,1
5,220,56,1,1,1,18,1,6,1,56,1
5,220,56,1,1,1,18,1,6,1,56,1
