brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
1,0,1,3,2,2,2,1,1,1,37,3,984,99
4,0,1,3,1,2,2,1,1,1,66,3,523,66
4,0,1,1,1,2,2,1,2,1,67,3,30,1
4,0,1,3,1,2,2,1,1,1,68,2,0,0
0,0,1,3,1,2,2,1,1,1,69,2,0,0
4,0,1,3,1,2,2,1,1,1,70,3,1605,215
0,0,1,1,1,2,2,1,1,1,47,3,4008,519
0,0,1,1,1,2,2,1,1,1,37,3,1869,234
0,0,1,3,1,2,2,1,1,1,71,2,7,0
0,0,1,1,1,2,2,1,1,1,39,3,4008,519
4,0,1,3,1,2,2,1,2,1,72,2,0,0
4,0,1,3,1,2,2,1,1,1,73,3,1278,135
5,0,1,1,1,2,2,1,1,1,74,2,0,0
1,0,1,3,1,2,2,1,1,1,75,2,10,2
5,0,1,3,2,2,2,1,1,1,76,2,0,0
4,0,1,3,2,2,2,1,1,1,77,3,143,15
0,0,1,1,2,1,1,1,1,1,78,2,28,4
1,0,1,1,2,1,1,1,1,1,14,3,2124,233
5,0,1,3,2,1,1,1,1,1,34,3,276,40
5,0,1,3,2,1,1,1,1,1,79,2,250,21
5,0,1,1,2,1,1,1,1,1,28,3,1917,189
4,0,1,3,2,1,1,1,1,1,80,3,4999,490
0,0,1,1,1,1,1,1,1,1,14,2,17,0
5,0,1,3,2,1,1,1,2,1,81,3,17,0
1,0,1,1,2,1,1,1,2,1,30,2,0,0
0,0,1,1,1,1,1,1,1,1,82,2,4203,490
0,0,1,3,2,1,1,1,1,1,83,2,13,0
5,0,1,1,1,1,1,1,1,1,27,2,15,1
5,0,1,1,1,1,1,1,2,1,84,3,527,46
1,0,1,1,1,1,1,1,1,1,35,2,103,10
4,0,1,3,1,1,1,1,1,1,27,2,324,45
4,0,1,3,1,1,1,1,1,1,32,3,69,5
5,0,1,3,1,1,1,1,2,1,61,2,16,0
4,0,1,3,1,1,1,1,1,1,85,2,40,3
0,0,1,1,1,1,1,1,2,1,86,2,12,1
4,0,1,1,1,1,1,1,1,1,42,2,1146,175
0,0,1,1,1,1,1,1,1,1,30,3,1850,216
0,0,1,1,1,1,1,1,2,1,87,2,43,7
5,0,1,1,1,1,1,1,1,1,88,3,231,26
0,0,3,2,1,1,3,1,2,1,89,3,502,93
4,0,1,1,1,1,1,1,1,1,90,3,1096,116
